,fractions,f1,f1_star,runtimime
0,0.00022739877981142541,0.2446242282307856,0.16183779852103286,14.91
1,0.00022739877981142541,0.22254017169271406,0.16276872194660996,14.36
2,0.00019966722129783693,0.21405228758169934,0.15301003344481606,15.35
3,0.00022739877981142541,0.20628385698808235,0.1388888888888889,15.49
4,0.0002662229617304492,0.2558441558441558,0.14584256387535077,27.51
5,0.00027731558513588466,0.2604430914933198,0.1666025394382455,14.87
6,0.0003355518580144204,0.2644808743169399,0.1618181818181818,15.34
7,0.00039933444259567386,0.28536184210526316,0.1600284495021337,15.56
8,0.00039378813089295615,0.2575301204819277,0.14183388366776734,15.47
9,0.000524126455906822,0.3071428571428571,0.13992172211350293,14.91
10,0.0004853022739877981,0.32608695652173914,0.14656931171480725,15.49
11,0.0005268996117581807,0.3435712134899127,0.15938531877063755,15.63
12,0.0009539656128674432,0.4120247568523431,0.14605003291639235,15.6
13,0.0006849694952856351,0.3194444444444445,0.12566806297847755,15.66
14,0.0007764836383804771,0.3750586029067041,0.15926340371703804,15.7
15,0.0009706045479755962,0.40841399851079674,0.13591112393593996,15.87
16,0.0017498613422074322,0.426321369074663,0.0913663469017371,15.99
17,0.0017803660565723794,0.4162162162162162,0.08054249081889053,29.07
18,0.002176927343316694,0.4277016742770168,0.07048776957591546,15.85
19,0.001824736550194121,0.39697609001406475,0.06258884150675195,15.9
20,0.0020188574597892403,0.44774951076320935,0.07839362761367408,15.99
21,0.001858014420410427,0.4653030303030303,0.08864404176904177,16.1
22,0.0024043261231281197,0.46153846153846156,0.0684573002754821,15.75
23,0.006641708264004437,0.4965753424657534,0.03198163214042211,15.44
24,0.00625069328896284,0.5051546391752577,0.03800224102319279,15.47
25,0.007182473655019412,0.4935211267605635,0.027868870319326264,15.35
26,0.005973377703826955,0.5005243445692884,0.039740036429029554,15.37
27,0.007041042706600111,0.47154255319148936,0.028369228653511856,15.43
28,0.007079866888519135,0.5148372227023913,0.031404196014915814,15.47
29,0.006164725457570715,0.4892037786774629,0.03418710089164174,15.56
30,0.008524681087077095,0.526073177758571,0.029642353189413023,15.61
31,0.007079866888519135,0.5673325934147244,0.03823026355163149,15.78
32,0.009417637271214642,0.5602657386902878,0.027495043441441734,15.72
33,0.041555740432612315,0.6001515151515151,0.007469120403149558,18.5
34,0.04849140321686079,0.5882049163395993,0.006313147467761689,19.34
35,0.03830282861896839,0.5741429710337497,0.007676460301458665,18.95
36,0.0364420410427066,0.5950126262626263,0.009012320358307478,19.33
37,0.03993067110371603,0.5862788414334807,0.0071634911229117755,19.91
38,0.04210482529118137,0.5821566110397947,0.00604569891242828,20.16
39,0.044744869661674985,0.5974884335756775,0.00749074754104811,19.51
40,0.0506738768718802,0.6128941441441442,0.006424498413542834,20.12
41,0.04306988352745424,0.6035408625608323,0.006648954431014624,19.77
42,0.05437603993344425,0.5683705696572698,0.005448065627751606,32.47
43,0.0550471436494731,0.627460168697282,0.005498914776311465,20.43
44,0.04756794231835829,0.6527777777777777,0.0066690099710165745,19.44
45,0.05397393233499723,0.6293316831683169,0.005403529667420097,20.27
46,0.052479201331114805,0.6042351223074114,0.006030543869781286,20.27
47,0.0517249029395452,0.6400404448938322,0.006203377489422854,21.38
48,0.062113144758735445,0.6199627300256231,0.004640887203740427,21.44
49,0.3766444814198558,0.6488192658405424,0.0009570653596351433,51.0
50,0.3769689406544648,0.6642916628111408,0.0009401459191575759,50.99
51,0.3728369384359401,0.6310068649885583,0.0009385737434352995,50.0
52,0.42192179700499166,0.6596491228070176,0.0008787965215283635,50.37
53,0.4039767054908486,0.686026936026936,0.0009379702590244375,49.42
54,0.4056405990016639,0.6459034183396636,0.0008748980220749719,50.51
55,0.40013588463671657,0.6662358321733943,0.0009774881834534103,55.59
56,0.4310371602884082,0.6470731707317073,0.0008909633293555795,50.07
57,0.4518691070438159,0.6798719487795117,0.0008365473092240684,51.6
58,0.44409595119245704,0.6528541226215645,0.0007713038657097811,54.58
59,0.4434636716583472,0.6569997109548127,0.000840371951770296,51.34
60,0.4462479201331115,0.6541168191414497,0.0008664504762070462,53.72
61,0.4525013865779257,0.6578688524590164,0.0008796049192355687,53.91
62,0.3996727676095396,0.6722068965517242,0.00102347813802949,55.52
63,0.4516777592900721,0.6670785525154457,0.0007958917129193287,57.5
64,0.4603854686633389,0.715633423180593,0.0008743145407679578,58.08
65,0.48285912368275097,0.6692857142857143,0.0007554968762953305,59.56
66,0.44778147531891294,0.6472868217054264,0.0008070982637708302,57.14
67,0.474675540765391,0.6902398676592225,0.0008094968303992929,63.83
68,0.4909511924570161,0.6599999999999999,0.0007838490444430998,66.89
69,0.5021436494731004,0.6906152647975079,0.000792278616471759,63.42
70,0.526128674431503,0.68353556278978,0.0006666106301986671,58.06
71,0.47416528008874104,0.6798136645962733,0.0008476908321304985,59.69
72,0.5193178036605657,0.6890440386680989,0.0007576979986676391,63.08
73,0.5732057681641709,0.6822676896845694,0.0007775496028088397,67.66
74,0.5629339988907376,0.7047233468286099,0.0007812123219410565,69.08
75,0.6201136993899057,0.7099358974358975,0.0006548193378840871,68.3
